72
0	1	22	1
0	2	25	1
0	3	28	1
0	4	6	1
1	0	22	1
1	30	40	1
1	43	40	1
1	57	22	1
1	44	40	1
2	0	25	1
2	3	28	1
2	29	40	1
2	44	25	1
2	43	33	1
3	0	28	1
3	2	28	1
3	5	50	1
3	6	40	1
4	0	6	1
4	15	50	1
4	25	50	1
4	27	40	1
4	40	28	1
4	16	40	1
4	39	50	1
4	13	40	1
5	3	50	1
5	29	50	1
5	38	50	1
5	57	22	1
5	34	18	1
5	31	40	1
5	44	28	1
6	3	40	1
6	38	18	1
6	33	50	1
6	34	50	1
6	42	25	1
6	44	25	1
7	8	12	1
7	9	5	1
7	10	40	1
7	11	50	1
7	12	50	1
7	13	8	1
7	14	50	1
8	7	12	1
8	11	20	1
8	62	50	1
8	51	25	1
8	65	20	1
8	10	18	1
9	7	5	1
9	17	13	1
9	19	33	1
9	66	40	1
9	49	28	1
9	64	50	1
10	7	40	1
10	8	18	1
10	20	40	1
11	7	50	1
11	8	20	1
11	20	50	1
11	21	25	1
11	22	22	1
11	23	25	1
11	12	50	1
11	24	25	1
12	7	50	1
12	11	50	1
12	13	7	1
13	4	40	1
13	7	8	1
13	12	7	1
13	15	50	1
13	25	50	1
13	27	50	1
13	40	50	1
13	16	50	1
13	45	50	1
13	26	7	1
13	61	10	1
14	7	50	1
14	52	25	1
14	20	50	1
14	53	20	1
14	54	50	1
15	4	50	1
15	13	50	1
15	16	50	1
16	4	40	1
16	13	50	1
16	15	50	1
16	25	50	1
17	9	13	1
17	18	33	1
17	19	22	1
18	17	33	1
18	24	50	1
18	38	4	1
19	9	33	1
19	17	22	1
19	64	25	1
20	10	40	1
20	11	50	1
20	14	50	1
20	52	33	1
20	21	50	1
20	22	40	1
20	23	50	1
21	11	25	1
21	20	50	1
21	35	50	1
22	11	22	1
22	20	40	1
22	35	18	1
23	11	25	1
23	20	50	1
24	11	25	1
24	18	50	1
24	51	20	1
25	4	50	1
25	13	50	1
25	16	50	1
26	13	7	1
26	61	50	1
26	53	50	1
27	4	40	1
27	13	50	1
28	29	33	1
28	30	40	1
28	31	40	1
28	32	50	1
29	2	40	1
29	5	50	1
29	28	33	1
29	41	33	1
30	1	40	1
30	28	40	1
30	42	50	1
30	43	50	1
31	5	40	1
31	28	40	1
31	58	40	1
32	28	50	1
32	33	50	1
32	34	50	1
33	6	50	1
33	32	50	1
34	5	18	1
34	6	50	1
34	32	50	1
35	21	50	1
35	22	18	1
36	37	50	1
36	38	14	1
36	39	11	1
37	36	50	1
37	39	16	1
38	5	50	1
38	6	18	1
38	18	4	1
38	36	14	1
38	63	50	1
38	43	22	1
39	4	50	1
39	36	11	1
39	37	16	1
39	45	40	1
40	4	28	1
40	13	50	1
41	29	33	1
41	58	50	1
41	63	16	1
41	44	40	1
42	6	25	1
42	30	50	1
43	1	40	1
43	2	33	1
43	30	50	1
43	38	22	1
43	46	6	1
43	60	11	1
43	57	50	1
43	71	20	1
44	1	40	1
44	2	25	1
44	5	28	1
44	6	25	1
44	41	40	1
44	60	16	1
44	57	33	1
45	13	50	1
45	39	40	1
45	46	14	1
46	43	6	1
46	45	14	1
46	47	5	1
46	48	25	1
46	49	50	1
46	50	28	1
47	46	5	1
47	59	25	1
47	49	7	1
47	67	50	1
47	68	50	1
47	69	33	1
47	70	50	1
48	46	25	1
48	55	6	1
49	9	28	1
49	46	50	1
49	47	7	1
49	67	6	1
49	50	40	1
50	46	28	1
50	49	40	1
51	8	25	1
51	24	20	1
51	62	50	1
52	14	25	1
52	20	33	1
53	14	20	1
53	26	50	1
53	54	50	1
54	14	50	1
54	53	50	1
54	61	14	1
55	48	6	1
55	57	20	1
55	71	33	1
55	60	50	1
56	57	40	1
56	58	50	1
57	1	22	1
57	5	22	1
57	43	50	1
57	44	33	1
57	55	20	1
57	56	40	1
57	59	10	1
58	31	40	1
58	41	50	1
58	56	50	1
59	47	25	1
59	57	10	1
59	60	50	1
60	43	11	1
60	44	16	1
60	55	50	1
60	59	50	1
60	67	33	1
60	69	50	1
60	70	33	1
61	13	10	1
61	26	50	1
61	54	14	1
62	8	50	1
62	51	50	1
63	38	50	1
63	41	16	1
64	9	50	1
64	19	25	1
65	8	20	1
65	66	12	1
66	9	40	1
66	65	12	1
67	47	50	1
67	49	6	1
67	60	33	1
68	47	50	1
68	70	33	1
69	47	33	1
69	60	50	1
70	47	50	1
70	60	33	1
70	68	33	1
71	43	20	1
71	55	33	1
