72
0	1	28	13
0	2	39	10
0	3	38	13
0	4	35	13
1	0	28	13
1	30	42	11
1	43	5	12
1	57	39	12
1	44	27	5
2	0	39	10
2	3	17	3
2	29	33	4
2	44	10	3
2	43	48	15
3	0	38	13
3	2	17	3
3	5	55	11
3	6	10	8
4	0	35	13
4	15	30	10
4	25	38	18
4	27	32	16
4	40	13	2
4	16	30	7
4	39	55	15
4	13	36	10
5	3	55	11
5	29	27	14
5	38	45	3
5	57	53	2
5	34	44	4
5	31	48	14
5	44	43	12
6	3	10	8
6	38	29	16
6	33	43	5
6	34	30	2
6	42	38	6
6	44	51	12
7	8	32	8
7	9	11	1
7	10	31	4
7	11	54	1
7	12	30	2
7	13	26	11
7	14	36	18
8	7	32	8
8	11	37	17
8	62	21	12
8	51	45	1
8	65	33	8
8	10	52	11
9	7	11	1
9	17	32	11
9	19	21	7
9	66	38	6
9	49	29	15
9	64	16	10
10	7	31	4
10	8	52	11
10	20	27	9
11	7	54	1
11	8	37	17
11	20	45	9
11	21	26	1
11	22	11	7
11	23	17	1
11	12	44	3
11	24	53	17
12	7	30	2
12	11	44	3
12	13	33	7
13	4	36	10
13	7	26	11
13	12	33	7
13	15	54	2
13	25	47	8
13	27	33	10
13	40	31	6
13	16	13	9
13	45	21	3
13	26	55	14
13	61	41	6
14	7	36	18
14	52	46	13
14	20	10	10
14	53	5	13
14	54	41	2
15	4	30	10
15	13	54	2
15	16	53	13
16	4	30	7
16	13	13	9
16	15	53	13
16	25	17	8
17	9	32	11
17	18	30	8
17	19	10	2
18	17	30	8
18	24	20	7
18	38	25	10
19	9	21	7
19	17	10	2
19	64	43	5
20	10	27	9
20	11	45	9
20	14	10	10
20	52	53	12
20	21	55	14
20	22	16	14
20	23	44	11
21	11	26	1
21	20	55	14
21	35	25	16
22	11	11	7
22	20	16	14
22	35	49	18
23	11	17	1
23	20	44	11
24	11	53	17
24	18	20	7
24	51	5	15
25	4	38	18
25	13	47	8
25	16	17	8
26	13	55	14
26	61	44	2
26	53	13	3
27	4	32	16
27	13	33	10
28	29	49	6
28	30	37	7
28	31	46	2
28	32	14	10
29	2	33	4
29	5	27	14
29	28	49	6
29	41	17	2
30	1	42	11
30	28	37	7
30	42	43	14
30	43	46	11
31	5	48	14
31	28	46	2
31	58	34	18
32	28	14	10
32	33	12	15
32	34	51	5
33	6	43	5
33	32	12	15
34	5	44	4
34	6	30	2
34	32	51	5
35	21	25	16
35	22	49	18
36	37	11	3
36	38	32	5
36	39	17	18
37	36	11	3
37	39	25	18
38	5	45	3
38	6	29	16
38	18	25	10
38	36	32	5
38	63	10	10
38	43	23	4
39	4	55	15
39	36	17	18
39	37	25	18
39	45	5	10
40	4	13	2
40	13	31	6
41	29	17	2
41	58	36	8
41	63	39	8
41	44	17	8
42	6	38	6
42	30	43	14
43	1	5	12
43	2	48	15
43	30	46	11
43	38	23	4
43	46	53	6
43	60	49	5
43	57	52	12
43	71	55	6
44	1	27	5
44	2	10	3
44	5	43	12
44	6	51	12
44	41	17	8
44	60	22	7
44	57	33	14
45	13	21	3
45	39	5	10
45	46	55	2
46	43	53	6
46	45	55	2
46	47	27	17
46	48	16	11
46	49	21	7
46	50	26	14
47	46	27	17
47	59	13	14
47	49	7	2
47	67	54	10
47	68	53	4
47	69	33	8
47	70	9	16
48	46	16	11
48	55	19	14
49	9	29	15
49	46	21	7
49	47	7	2
49	67	31	15
49	50	18	13
50	46	26	14
50	49	18	13
51	8	45	1
51	24	5	15
51	62	30	10
52	14	46	13
52	20	53	12
53	14	5	13
53	26	13	3
53	54	35	18
54	14	41	2
54	53	35	18
54	61	41	9
55	48	19	14
55	57	17	9
55	71	28	17
55	60	36	17
56	57	11	9
56	58	42	17
57	1	39	12
57	5	53	2
57	43	52	12
57	44	33	14
57	55	17	9
57	56	11	9
57	59	27	4
58	31	34	18
58	41	36	8
58	56	42	17
59	47	13	14
59	57	27	4
59	60	45	10
60	43	49	5
60	44	22	7
60	55	36	17
60	59	45	10
60	67	12	5
60	69	19	3
60	70	31	12
61	13	41	6
61	26	44	2
61	54	41	9
62	8	21	12
62	51	30	10
63	38	10	10
63	41	39	8
64	9	16	10
64	19	43	5
65	8	33	8
65	66	50	2
66	9	38	6
66	65	50	2
67	47	54	10
67	49	31	15
67	60	12	5
68	47	53	4
68	70	49	4
69	47	33	8
69	60	19	3
70	47	9	16
70	60	31	12
70	68	49	4
71	43	55	6
71	55	28	17
